Date,Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
4/7/2020,12:04:18.524711,-0.65, 0.32, 9.85,4.36, -1.37, 2.56
4/7/2020,12:04:23.605508,-0.66, 0.31, 9.87,4.35, -1.23, 2.43
4/7/2020,12:04:28.676193,-0.66, 0.31, 9.87,4.33, -1.29, 2.49
4/7/2020,12:04:33.756057,-0.66, 0.33, 9.84,4.30, -1.29, 2.59
4/7/2020,12:04:38.829360,-0.65, 0.31, 9.84,4.41, -1.32, 2.40
4/7/2020,12:04:43.910456,-0.67, 0.30, 9.86,4.24, -1.25, 2.61
4/7/2020,12:04:48.984588,-0.66, 0.33, 9.86,4.34, -1.31, 2.53
4/7/2020,12:04:54.063768,-0.66, 0.31, 9.85,4.38, -1.23, 2.56
4/7/2020,12:04:59.136940,-0.65, 0.32, 9.86,4.39, -1.25, 2.48
4/7/2020,12:05:04.216818,-0.66, 0.31, 9.87,4.39, -1.35, 2.42
4/7/2020,12:05:09.287124,-0.66, 0.32, 9.86,4.38, -1.35, 2.66
4/7/2020,12:05:14.367134,-0.66, 0.31, 9.84,4.43, -1.33, 2.45
4/7/2020,12:05:19.440239,-0.66, 0.30, 9.86,4.32, -1.38, 2.61
4/7/2020,12:05:24.522896,-0.66, 0.31, 9.85,4.32, -1.19, 2.54
4/7/2020,12:05:29.595433,-0.66, 0.32, 9.85,4.24, -1.26, 2.64
4/7/2020,12:05:34.675759,-0.65, 0.31, 9.85,4.41, -1.26, 2.48
4/7/2020,12:05:39.746634,-0.65, 0.31, 9.85,4.38, -1.36, 2.44
4/7/2020,12:05:44.826678,-0.65, 0.32, 9.85,4.36, -1.28, 2.57
4/7/2020,12:05:49.896535,-0.67, 0.31, 9.86,4.31, -1.28, 2.67
4/7/2020,12:05:54.976547,-0.67, 0.31, 9.85,4.32, -1.25, 2.61
4/7/2020,12:06:00.049469,-0.66, 0.32, 9.83,4.32, -1.31, 2.42
4/7/2020,12:06:05.130489,-0.64, 0.31, 9.87,4.39, -1.29, 2.56
4/7/2020,12:06:10.201901,-0.67, 0.31, 9.86,4.38, -1.29, 2.56
4/7/2020,12:06:15.280716,-0.66, 0.32, 9.86,4.48, -1.42, 2.51
4/7/2020,12:06:20.352560,-0.66, 0.31, 9.84,4.39, -1.34, 2.48
4/7/2020,12:06:25.431988,-0.65, 0.32, 9.84,4.34, -1.14, 2.56
4/7/2020,12:06:30.509764,-0.65, 0.31, 9.86,4.28, -1.36, 2.48
4/7/2020,12:26:35.589139,-0.66, 0.35, 9.88,4.28, -1.24, 2.48
4/7/2020,12:26:40.654833,-0.67, 0.30, 9.85,4.34, -1.30, 2.58
4/7/2020,12:26:45.720924,-0.68, 0.27, 9.85,4.30, -1.14, 2.60
4/7/2020,12:26:50.792297,-0.67, 0.29, 9.81,4.39, -1.24, 2.48
4/7/2020,12:26:55.858945,-0.65, 0.35, 9.80,4.31, -1.24, 2.50
4/7/2020,12:27:00.930615,-0.65, 0.29, 9.82,4.40, -1.25, 2.36
4/7/2020,12:27:05.996463,-0.67, 0.31, 9.90,4.20, -1.32, 2.56
4/7/2020,12:27:11.065768,-0.67, 0.27, 9.85,4.29, -1.26, 2.56
4/7/2020,12:27:16.132201,-0.65, 0.28, 9.83,4.36, -1.26, 2.61
4/7/2020,12:27:21.203455,-0.67, 0.29, 9.81,4.46, -1.29, 2.58
4/7/2020,12:27:26.273399,-0.67, 0.33, 9.85,4.39, -1.36, 2.43
4/7/2020,12:27:31.344410,-0.63, 0.34, 9.85,4.32, -1.17, 2.65
4/7/2020,12:27:36.410597,-0.70, 0.28, 9.84,4.44, -1.35, 2.48
4/7/2020,12:27:41.488362,-0.64, 0.34, 9.91,4.25, -1.32, 2.56
4/7/2020,12:27:46.566699,-0.65, 0.33, 9.84,4.30, -1.16, 2.60
4/7/2020,12:27:51.642936,-0.64, 0.34, 9.81,4.46, -1.48, 2.39
4/7/2020,12:27:56.715434,-0.67, 0.29, 9.82,4.50, -1.34, 2.48
4/7/2020,12:28:01.795195,-0.66, 0.31, 9.91,4.34, -1.38, 2.51
4/7/2020,12:28:06.869092,-0.66, 0.30, 9.85,4.44, -1.25, 2.56
4/7/2020,12:28:11.950982,-0.65, 0.34, 9.92,4.50, -1.39, 2.51
4/7/2020,12:28:17.023201,-0.62, 0.33, 9.88,4.27, -1.22, 2.56
4/7/2020,12:28:22.102097,-0.66, 0.35, 9.87,4.37, -1.24, 2.62
4/7/2020,12:28:27.173848,-0.65, 0.33, 9.84,4.38, -1.33, 2.58
4/7/2020,12:28:32.252719,-0.67, 0.31, 9.85,4.45, -1.25, 2.58
4/7/2020,12:28:37.324678,-0.65, 0.31, 9.86,4.45, -1.21, 2.53
4/7/2020,12:28:42.403280,-0.66, 0.32, 9.87,4.53, -1.49, 2.43
4/7/2020,12:28:47.475645,-0.68, 0.32, 9.86,4.41, -1.40, 2.56
